sep=	
Time	Channel1	Channel2
-0.0005	0	0
-0.000498	0	0
-0.000496	0.006249999999999978	0
-0.000494	0.006249999999999978	0.006249999999999978
-0.0004919999999999999	0	0.006249999999999978
-0.00049	0.006249999999999978	0.006249999999999978
-0.000488	0	0
-0.000486	0	0
-0.000484	0.006249999999999978	0.006249999999999978
-0.00048199999999999995	0.006249999999999978	0.006249999999999978
-0.00047999999999999996	0	0
-0.00047799999999999996	0	0.006249999999999978
-0.00047599999999999997	0	0.006249999999999978
-0.000474	0	0
-0.000472	0	0
-0.00047	0	0.006249999999999978
-0.000468	0	0
-0.000466	0	0.006249999999999978
-0.000464	0	0.012500000000000011
-0.00046199999999999995	0	0
-0.00045999999999999996	0	0.006249999999999978
-0.00045799999999999997	0	0.006249999999999978
-0.00045599999999999997	0	0
-0.000454	0	-0.006249999999999978
-0.000452	0	0.006249999999999978
-0.00045	0.006249999999999978	0.006249999999999978
-0.000448	0	0
-0.000446	0	0
-0.000444	0	0
-0.00044199999999999996	0	0
-0.00043999999999999996	0.006249999999999978	0
-0.00043799999999999997	0	0
-0.00043599999999999997	0	0
-0.000434	0	0.006249999999999978
-0.000432	0	0
-0.00043	0	0
-0.000428	0	0
-0.000426	0.006249999999999978	0.006249999999999978
-0.000424	0	0
-0.00042199999999999996	0.006249999999999978	0
-0.00041999999999999996	0	0.012500000000000011
-0.00041799999999999997	0	0
-0.000416	0.006249999999999978	0.006249999999999978
-0.000414	0	0
-0.000412	0	0.006249999999999978
-0.00041	0	0.006249999999999978
-0.000408	0	0.006249999999999978
-0.000406	0	0.006249999999999978
-0.000404	0	0
-0.00040199999999999996	0	0.006249999999999978
-0.00039999999999999996	0	0.006249999999999978
-0.00039799999999999997	0	-0.006249999999999978
-0.000396	0	0
-0.000394	0.006249999999999978	0.006249999999999978
-0.000392	0	0
-0.00039	0	0.006249999999999978
-0.000388	0	0.006249999999999978
-0.000386	0	0.006249999999999978
-0.000384	0	0.006249999999999978
-0.00038199999999999996	0.006249999999999978	0
-0.00037999999999999997	0.006249999999999978	0.006249999999999978
-0.00037799999999999997	0	0
-0.000376	0.006249999999999978	0.006249999999999978
-0.000374	0	0.006249999999999978
-0.000372	0	0.006249999999999978
-0.00037	0	0.006249999999999978
-0.000368	0	0
-0.000366	0	0
-0.00036399999999999996	0	0.006249999999999978
-0.00036199999999999996	0	0
-0.00035999999999999997	0	0.006249999999999978
-0.000358	0	0.006249999999999978
-0.000356	0	0.006249999999999978
-0.000354	0	0
-0.000352	0	0
-0.00035	0.006249999999999978	0.006249999999999978
-0.000348	0	0
-0.000346	0	0.006249999999999978
-0.00034399999999999996	0	0.006249999999999978
-0.00034199999999999996	0	0
-0.00033999999999999997	0.006249999999999978	0.006249999999999978
-0.000338	0	0.006249999999999978
-0.000336	0	0
-0.000334	0	0.006249999999999978
-0.000332	0	0.006249999999999978
-0.00033	0	0.006249999999999978
-0.000328	0.006249999999999978	0
-0.000326	0	0.006249999999999978
-0.00032399999999999996	0	0.006249999999999978
-0.00032199999999999997	0	0
-0.00031999999999999997	0	0
-0.000318	0	0.006249999999999978
-0.000316	0	0
-0.000314	0.006249999999999978	0
-0.000312	0	0
-0.00031	0	0
-0.000308	0.006249999999999978	0.006249999999999978
-0.000306	0	0.006249999999999978
-0.00030399999999999996	0	0.006249999999999978
-0.00030199999999999997	0.006249999999999978	0.006249999999999978
-0.0003	0	0.006249999999999978
-0.000298	0	0
-0.000296	0	0
-0.000294	0.006249999999999978	0.006249999999999978
-0.000292	0	0
-0.00029	0	0
-0.000288	0	0.006249999999999978
-0.000286	0	0
-0.00028399999999999996	0	0
-0.00028199999999999997	0	0
-0.00028	0	0
-0.000278	0	0
-0.000276	0	0
-0.000274	0	0
-0.000272	0	0
-0.00027	0.006249999999999978	0.006249999999999978
-0.000268	0.006249999999999978	0.006249999999999978
-0.000266	0	0
-0.00026399999999999997	0	0
-0.00026199999999999997	0	0
-0.00026	0	0
-0.000258	0	0
-0.000256	0	0
-0.000254	0	0
-0.000252	0	0.006249999999999978
-0.00025	0	0
-0.000248	0	0
-0.00024599999999999996	0	0
-0.000244	0	0.006249999999999978
-0.000242	0.006249999999999978	0.012500000000000011
-0.00023999999999999998	0	0
-0.00023799999999999998	0	0
-0.000236	0	0
-0.000234	0	0
-0.000232	0	0
-0.00022999999999999998	0	0
-0.00022799999999999999	0	0.006249999999999978
-0.000226	0	0
-0.000224	0	0.006249999999999978
-0.000222	0	0
-0.00021999999999999998	0	0
-0.00021799999999999999	0	0
-0.000216	0	0
-0.000214	0	0
-0.000212	0.006249999999999978	0.006249999999999978
-0.00020999999999999998	0	0
-0.000208	0	0.006249999999999978
-0.000206	0	0
-0.000204	0	0.006249999999999978
-0.000202	0	0
-0.00019999999999999998	0	0
-0.000198	0	0
-0.000196	0	0
-0.000194	0	0.006249999999999978
-0.000192	0	0
-0.00018999999999999998	0	-0.006249999999999978
-0.000188	0	0
-0.000186	0	0
-0.000184	0	-0.006249999999999978
-0.00018199999999999998	0	0.006249999999999978
-0.00017999999999999998	0	0
-0.000178	0	0
-0.000176	0.006249999999999978	0
-0.000174	0	0
-0.00017199999999999998	0	-0.006249999999999978
-0.00016999999999999999	0	0
-0.000168	0	0.006249999999999978
-0.000166	0	0
-0.000164	0	0
-0.00016199999999999998	0	0
-0.00015999999999999999	0	0
-0.000158	0	0
-0.000156	0.006249999999999978	0.006249999999999978
-0.000154	0	0
-0.00015199999999999998	0	0.006249999999999978
-0.00015	0	0
-0.000148	0	0
-0.000146	0	0
-0.000144	0	0
-0.00014199999999999998	0.006249999999999978	0
-0.00014	0	0
-0.000138	0.006249999999999978	0.006249999999999978
-0.000136	0.006249999999999978	0
-0.000134	-0.006249999999999978	0
-0.00013199999999999998	0.006249999999999978	0.006249999999999978
-0.00013	0.006249999999999978	0.006249999999999978
-0.000128	0	0.006249999999999978
-0.000126	0	0
-0.000124	0	0
-0.000122	0	0
