sep=	
Time	Channel1	Channel2
-0.001	-0.006249999999999978	-0.006249999999999978
-0.000996	-0.012500000000000011	-0.012500000000000011
-0.000992	-0.006249999999999978	-0.006249999999999978
-0.000988	-0.006249999999999978	-0.006249999999999978
-0.0009839999999999998	-0.01874999999999999	-0.006249999999999978
-0.00098	-0.012500000000000011	-0.006249999999999978
-0.000976	-0.006249999999999978	-0.006249999999999978
-0.000972	-0.006249999999999978	-0.006249999999999978
-0.000968	-0.006249999999999978	-0.006249999999999978
-0.0009639999999999999	-0.006249999999999978	-0.006249999999999978
-0.0009599999999999999	-0.006249999999999978	-0.006249999999999978
-0.0009559999999999999	-0.006249999999999978	-0.006249999999999978
-0.0009519999999999999	-0.006249999999999978	-0.006249999999999978
-0.000948	-0.012500000000000011	-0.006249999999999978
-0.000944	-0.012500000000000011	-0.006249999999999978
-0.00094	-0.012500000000000011	-0.012500000000000011
-0.000936	-0.006249999999999978	-0.006249999999999978
-0.000932	-0.012500000000000011	-0.006249999999999978
-0.000928	-0.012500000000000011	-0.006249999999999978
-0.0009239999999999999	-0.006249999999999978	-0.006249999999999978
-0.0009199999999999999	-0.012500000000000011	-0.006249999999999978
-0.0009159999999999999	-0.006249999999999978	-0.006249999999999978
-0.0009119999999999999	-0.012500000000000011	-0.006249999999999978
-0.000908	-0.006249999999999978	-0.006249999999999978
-0.000904	-0.006249999999999978	-0.006249999999999978
-0.0009	-0.006249999999999978	-0.012500000000000011
-0.000896	-0.012500000000000011	-0.012500000000000011
-0.000892	-0.006249999999999978	-0.006249999999999978
-0.000888	-0.012500000000000011	-0.006249999999999978
-0.0008839999999999999	-0.006249999999999978	-0.006249999999999978
-0.0008799999999999999	-0.006249999999999978	-0.006249999999999978
-0.0008759999999999999	0	0
-0.0008719999999999999	-0.006249999999999978	-0.006249999999999978
-0.000868	-0.012500000000000011	-0.006249999999999978
-0.000864	-0.012500000000000011	-0.012500000000000011
-0.00086	-0.012500000000000011	-0.006249999999999978
-0.000856	-0.012500000000000011	-0.006249999999999978
-0.000852	-0.006249999999999978	-0.006249999999999978
-0.000848	-0.006249999999999978	0
-0.0008439999999999999	-0.006249999999999978	-0.006249999999999978
-0.0008399999999999999	-0.006249999999999978	-0.006249999999999978
-0.0008359999999999999	0	-0.006249999999999978
-0.000832	-0.006249999999999978	-0.006249999999999978
-0.000828	-0.012500000000000011	-0.006249999999999978
-0.000824	-0.006249999999999978	-0.006249999999999978
-0.00082	-0.012500000000000011	-0.006249999999999978
-0.000816	-0.006249999999999978	0
-0.000812	-0.006249999999999978	-0.006249999999999978
-0.000808	-0.006249999999999978	-0.006249999999999978
-0.0008039999999999999	-0.006249999999999978	-0.006249999999999978
-0.0007999999999999999	-0.012500000000000011	-0.012500000000000011
-0.0007959999999999999	-0.012500000000000011	-0.006249999999999978
-0.000792	-0.012500000000000011	-0.012500000000000011
-0.000788	-0.006249999999999978	-0.006249999999999978
-0.000784	-0.012500000000000011	-0.006249999999999978
-0.00078	-0.006249999999999978	-0.006249999999999978
-0.000776	-0.006249999999999978	-0.006249999999999978
-0.000772	-0.006249999999999978	-0.006249999999999978
-0.000768	-0.006249999999999978	-0.006249999999999978
-0.0007639999999999999	-0.012500000000000011	-0.012500000000000011
-0.0007599999999999999	-0.006249999999999978	-0.006249999999999978
-0.0007559999999999999	-0.006249999999999978	-0.006249999999999978
-0.000752	-0.012500000000000011	-0.006249999999999978
-0.000748	-0.012500000000000011	-0.006249999999999978
-0.000744	-0.006249999999999978	-0.006249999999999978
-0.00074	-0.006249999999999978	-0.006249999999999978
-0.000736	0	-0.006249999999999978
-0.000732	-0.006249999999999978	-0.006249999999999978
-0.0007279999999999999	-0.006249999999999978	-0.006249999999999978
-0.0007239999999999999	-0.012500000000000011	-0.006249999999999978
-0.0007199999999999999	-0.006249999999999978	0
-0.000716	-0.006249999999999978	-0.006249999999999978
-0.000712	-0.006249999999999978	-0.006249999999999978
-0.000708	0	0
-0.000704	-0.006249999999999978	-0.006249999999999978
-0.0007	-0.012500000000000011	-0.012500000000000011
-0.000696	-0.006249999999999978	-0.006249999999999978
-0.000692	-0.006249999999999978	-0.006249999999999978
-0.0006879999999999999	-0.012500000000000011	-0.006249999999999978
-0.0006839999999999999	-0.006249999999999978	-0.006249999999999978
-0.0006799999999999999	-0.006249999999999978	-0.006249999999999978
-0.000676	-0.006249999999999978	-0.006249999999999978
-0.000672	-0.006249999999999978	-0.012500000000000011
-0.000668	-0.006249999999999978	-0.012500000000000011
-0.000664	-0.006249999999999978	-0.006249999999999978
